,GALAUSDT,MASKUSDT,Spread,Zscore
131,0.05032,1.448,0.006879999999999997,-0.19181212668158898
132,0.05044,1.456,0.006760000000000002,-0.7923416305898978
133,0.05043,1.45,0.006930000000000006,0.011165875490084904
134,0.05117,1.468,0.007130000000000004,1.1990099868277642
135,0.05095,1.468,0.006910000000000006,-0.013091041842079515
136,0.05105,1.468,0.007010000000000002,0.47005572111438026
137,0.05086,1.464,0.006940000000000002,0.054174885225114926
138,0.0513,1.481,0.006869999999999994,-0.3241763593892707
139,0.05116,1.473,0.006969999999999997,0.21895498788664997
140,0.0523,1.487,0.0076899999999999955,3.0290587843941488
141,0.05215,1.505,0.007000000000000006,0.1445202313948559
142,0.05193,1.485,0.007379999999999998,1.5925437599610042
143,0.05164,1.482,0.007179999999999999,0.784473350751898
144,0.05104,1.48,0.006640000000000007,-1.2037878705191012
145,0.0513,1.493,0.006509999999999995,-1.5038522429547154
146,0.0507,1.469,0.006630000000000004,-0.9873624142697495
147,0.05092,1.473,0.00673,-0.5776587281205476
148,0.05227,1.472,0.00811,2.9596032417039506
149,0.05343,1.481,0.008999999999999994,3.314335725986973
150,0.05288,1.485,0.008330000000000004,1.8569197711932908
151,0.0529,1.485,0.008350000000000003,1.6599254264968886
152,0.05268,1.478,0.00834,1.463087303898543
153,0.05226,1.472,0.008100000000000003,1.0209000931952203
154,0.05252,1.474,0.008300000000000002,1.1760580199553214
